Unnamed: 0,제목,랭킹,저자,출판사,평점,리뷰수,가격
133,"파이썬 인 프랙티스 (디자인 패턴, 동시성, 네트워킹, 성능 최적화, GUI 제작기법)",None,마크 서머필드,위키북스,0.0,0,25200
134,파이썬 플레이그라운드 (호기심 많은 프로그래머를 위한 14가지 창의적 프로젝트),None,마헤시 벤키타찰람,에이콘출판,0.0,0,27000
135,"파이썬 병렬 프로그래밍 (threading, multiprocessing, PP, Celery, asyncio 모듈 이해와 활용)",None,얀 팔라흐,에이콘출판,0.0,0,12600
136,파이썬 프로그래밍 개론 (기본 문법부터 객체지향 프로그래밍까지),None,데이비드 슈나이더,에이콘출판,0.0,0,31500
137,국가대표 파이썬 첫걸음 (파이썬으로 코딩 학습을 시작하는 사람들을 위한 친절한 안내서),None,The Coding College Instructors,더코딩칼리지,0.0,0,21420
138,파이썬 기초 프로그래밍 (누구나 쉽게 코딩가능한),None,정경호,일일사,0.0,0,22500
139,파이썬으로 제어하는 마이크로비트,None,북마크,부크크(bookk),0.0,0,9400
140,파이썬 해킹 프로그래밍 (프로그래머라면 누구나 할 수 있는),None,저스틴 지이츠,에이콘출판,0.0,0,22500
141,파이썬 해킹프로그래밍 (게으른 해커의 쉽게 배우는),None,"한상준, 조태남 외 1명",박영사,0.0,0,13860
142,순서도로 배우는 파이썬,None,김종훈,다올미디어,0.0,0,0
143,가즈아! 파이썬 세상으로,None,연두에디션,연두에디션,0.0,0,19000
144,"스파르타! 파이썬 포렌식 (쉽고, 빠르고, 강력한 무기)",None,쳇 호스머,비제이퍼블릭,0.0,0,25200
145,"파이썬 네트워킹 마스터 (실무자를 위한 파이썬 네트워크 자동화, DevOps, SDN 가이드)",None,에릭 추,에이콘출판,0.0,0,31500
146,헬로 파이썬 프로그래밍 (쉽고 재미있게 프로그래밍 배우기),None,워렌 산데,위키북스,0.0,0,0
147,프로젝트로 배우는 파이썬 프로그래밍,None,최덕기,학산미디어,0.0,0,27000
148,"파이썬으로 하는 데브옵스 (자동화, 클라우드, 머신러닝, 데이터 엔지니어링까지)",None,노아 기프트,에이콘출판,0.0,0,36000
